sample_accession	secondary_sample_accession	run_accession
SAMEA4718164	ERS2538310	ERR2623303
SAMEA4718165	ERS2538311	ERR2623304
SAMEA4718166	ERS2538312	ERR2623305
SAMEA4718167	ERS2538313	ERR2623306
SAMEA4718168	ERS2538314	ERR2623307
SAMEA4718169	ERS2538315	ERR2623308
SAMEA4718170	ERS2538316	ERR2623309
SAMEA4718171	ERS2538317	ERR2623310
SAMEA4718172	ERS2538318	ERR2623311
SAMEA4718173	ERS2538319	ERR2623312
SAMEA4718174	ERS2538320	ERR2623313
SAMEA4718175	ERS2538321	ERR2623314
SAMEA4718176	ERS2538322	ERR2623315
SAMEA4718177	ERS2538323	ERR2623316
SAMEA4718178	ERS2538324	ERR2623317
SAMEA4718179	ERS2538325	ERR2623318
SAMEA4718180	ERS2538326	ERR2623319
SAMEA4718181	ERS2538327	ERR2623320
SAMEA4718182	ERS2538328	ERR2623321
SAMEA4718183	ERS2538329	ERR2623322
SAMEA4718184	ERS2538330	ERR2623323
SAMEA4718185	ERS2538331	ERR2623324
SAMEA4718186	ERS2538332	ERR2623325
SAMEA4718187	ERS2538333	ERR2623326
SAMEA4718188	ERS2538334	ERR2623327
SAMEA4718189	ERS2538335	ERR2623328
SAMEA4718190	ERS2538336	ERR2623329
SAMEA4718191	ERS2538337	ERR2623330
SAMEA4718192	ERS2538338	ERR2623331
SAMEA4718193	ERS2538339	ERR2623332
SAMEA4718194	ERS2538340	ERR2623333
SAMEA4718195	ERS2538341	ERR2623334
SAMEA4718196	ERS2538342	ERR2623335
SAMEA4718197	ERS2538343	ERR2623336
SAMEA4718198	ERS2538344	ERR2623337
SAMEA4718199	ERS2538345	ERR2623338
SAMEA4718200	ERS2538346	ERR2623339
SAMEA4718201	ERS2538347	ERR2623340
SAMEA4718202	ERS2538348	ERR2623341
SAMEA4718203	ERS2538349	ERR2623342
SAMEA4718204	ERS2538350	ERR2623343
SAMEA4718205	ERS2538351	ERR2623344
SAMEA4718206	ERS2538352	ERR2623345
SAMEA4718207	ERS2538353	ERR2623346
SAMEA4718208	ERS2538354	ERR2623347
SAMEA4718209	ERS2538355	ERR2623348
SAMEA4718210	ERS2538356	ERR2623349
SAMEA4718211	ERS2538357	ERR2623350
SAMEA4718212	ERS2538358	ERR2623351
SAMEA4718213	ERS2538359	ERR2623352
SAMEA4718214	ERS2538360	ERR2623353
SAMEA4718215	ERS2538361	ERR2623354
SAMEA4718216	ERS2538362	ERR2623355
SAMEA4718217	ERS2538363	ERR2623356
SAMEA4718218	ERS2538364	ERR2623357
SAMEA4718219	ERS2538365	ERR2623358
SAMEA4718220	ERS2538366	ERR2623359
SAMEA4718221	ERS2538367	ERR2623360
